,name,salary,address,gender,email,birthdaydate,university,GPA,test,IsMarried,partition
270,qossay,4827,yafa,Female,rovqiotzxk@asaltech.com,1994-12-15,birzeit,65,value3,True,5
288,qossay,4354,Jerusalem,Female,ydalufdcgf@asaltech.com,1984-07-27,al-quds,80,value1,False,7
296,qossay,1006,Jerusalem,Female,ddrjtzmwkv@asaltech.com,1982-08-12,najah,73,value3,True,2
335,qossay,1493,Bethlehem,Female,txjuexwjrl@asaltech.com,1988-12-05,al-quds,89,value1,False,5
355,qossay,2096,Bethlehem,Female,lizrmqtizr@asaltech.com,1999-07-07,birzeit,89,value3,True,7
364,qossay,4978,Jerusalem,Female,zxcfqtunbz@asaltech.com,1990-05-27,birzeit,86,value3,False,7
371,qossay,2358,Jerusalem,Female,xspanlrccq@asaltech.com,1986-12-14,birzeit,74,value2,False,4
424,qossay,4342,Jerusalem,Female,chwwpfchdu@asaltech.com,1986-08-21,al-quds,70,value3,True,1
465,qossay,2661,rawabi,Female,yfwteodfzx@asaltech.com,1992-07-07,birzeit,90,value3,False,7
467,qossay,2519,Bethlehem,Female,qjebnpzkqc@asaltech.com,1998-06-08,birzeit,63,value3,False,8
471,qossay,955,Bethlehem,Female,dvbseoiyju@asaltech.com,1981-02-11,birzeit,98,value2,False,1
476,qossay,1510,Jenin ,Female,eoyulhlnvj@asaltech.com,1998-02-24,najah,61,value3,False,4
535,qossay,2142,hebron,Female,abqcoooiug@asaltech.com,1985-10-16,al-quds,98,value2,True,6
590,qossay,2085,Bethlehem,Female,tqnfmkcrvw@asaltech.com,1991-09-14,birzeit,83,value1,False,4
611,qossay,1552,hebron,Female,balkjheblm@asaltech.com,1991-10-08,al-quds,81,value1,True,8
615,qossay,4421,yafa,Female,tvxpmtymxc@asaltech.com,1985-12-20,birzeit,76,value3,True,0
621,qossay,2960,Jenin ,Female,fsctpcymfl@asaltech.com,1996-02-02,najah,99,value1,False,2
629,qossay,2475,rawabi,Female,rdgfzlbbbw@asaltech.com,1992-03-09,al-quds,74,value1,False,9
632,qossay,828,rawabi,Female,opeztcwkiy@asaltech.com,1990-07-07,najah,92,value2,True,7
652,qossay,2496,hebron,Female,ydpoqbwfea@asaltech.com,1986-10-06,birzeit,86,value1,True,6
663,qossay,1793,rammallah,Female,ozvaocuteg@asaltech.com,1986-11-28,birzeit,60,value2,True,8
690,qossay,1173,Jenin ,Female,kuvuzjezcs@asaltech.com,1990-05-20,najah,94,value3,True,0
695,qossay,3097,Jerusalem,Female,womibfhick@asaltech.com,1983-02-04,najah,84,value2,False,4
719,qossay,3065,Jenin ,Female,btmmcctpud@asaltech.com,1989-07-14,birzeit,90,value1,False,4
727,qossay,1612,Jenin ,Female,cbfrdbvasd@asaltech.com,1984-08-06,al-quds,65,value3,True,6
728,qossay,3590,rammallah,Female,yydvwcowdy@asaltech.com,1980-04-18,al-quds,88,value1,False,8
742,qossay,907,Salfit,Female,tguqyqnegs@asaltech.com,1992-07-12,birzeit,90,value3,True,2
747,qossay,4926,amman,Female,olwlvwifra@asaltech.com,1990-06-27,al-quds,76,value1,False,7
752,qossay,2340,Jerusalem,Female,jqzxeilhta@asaltech.com,1986-02-28,al-quds,72,value3,False,8
754,qossay,2707,Jenin ,Female,shehogjmud@asaltech.com,1998-01-25,birzeit,77,value1,False,5
768,qossay,3831,Salfit,Female,xzejkcdapb@asaltech.com,1989-07-28,al-quds,84,value2,False,8
783,qossay,4479,Jenin ,Female,vyzwmiazak@asaltech.com,1994-05-26,birzeit,88,value1,True,6
800,qossay,1152,rammallah,Female,dplidrbrzx@asaltech.com,1998-10-10,al-quds,60,value3,True,0
844,qossay,4384,Jenin ,Female,gnfisyowbc@asaltech.com,1983-08-16,najah,60,value2,False,6
867,qossay,4430,rawabi,Female,fcguempsvc@asaltech.com,1982-11-19,al-quds,84,value2,False,9
874,qossay,1282,Bethlehem,Female,chwvvpsrst@asaltech.com,1993-08-05,birzeit,64,value3,False,5
877,qossay,2519,rammallah,Female,vgpumefnza@asaltech.com,1994-02-28,najah,85,value2,True,8
891,qossay,4700,Jenin ,Female,btevohkdgk@asaltech.com,1998-11-09,najah,60,value1,True,9
894,qossay,1807,nablus,Female,ftpabsdfnd@asaltech.com,1998-02-04,najah,88,value3,True,4
896,qossay,2546,Jerusalem,Female,iqeqgsvusb@asaltech.com,1984-06-07,najah,95,value2,False,7
899,qossay,2590,Jerusalem,Female,xwosjroshq@asaltech.com,1986-09-12,birzeit,82,value1,False,2
914,qossay,3537,rawabi,Female,ldzgrsayme@asaltech.com,1999-06-16,al-quds,62,value1,False,6
926,qossay,3135,Jerusalem,Female,rbiihrlctx@asaltech.com,1988-03-09,najah,81,value2,True,9
936,qossay,2125,Salfit,Female,xkpmurqdtq@asaltech.com,1987-05-02,najah,78,value2,False,2
940,qossay,1447,rawabi,Female,kezlhhgfhl@asaltech.com,2000-09-13,birzeit,84,value1,True,3
949,qossay,1403,Bethlehem,Female,hzaxuuptmg@asaltech.com,1981-09-16,najah,97,value3,False,6
954,qossay,3040,yafa,Female,qmrdpfeady@asaltech.com,1999-02-25,najah,79,value3,False,5
957,qossay,4467,hebron,Female,tnbraykcgl@asaltech.com,1997-08-20,birzeit,61,value3,True,0
995,qossay,2310,Jerusalem,Female,ygjtzugapy@asaltech.com,1990-11-05,al-quds,74,value1,False,5
1010,qossay,1860,Jerusalem,Female,lsvoamhdvn@asaltech.com,1989-08-24,al-quds,98,value1,False,4
1022,qossay,1652,hebron,Female,wfvnednqea@asaltech.com,1980-06-16,najah,74,value1,True,6
1030,qossay,4460,rawabi,Female,srizlejdfp@asaltech.com,1989-02-13,al-quds,84,value2,True,3
1056,qossay,4732,Jenin ,Female,bmiungjekb@asaltech.com,1998-11-08,al-quds,73,value3,False,8
1076,qossay,3766,Bethlehem,Female,liloqgeabo@asaltech.com,1999-02-12,al-quds,92,value3,False,2
1118,qossay,3267,rammallah,Female,suvfvenrzi@asaltech.com,1981-08-09,birzeit,91,value2,False,9
1139,qossay,4396,rawabi,Female,repwefxicz@asaltech.com,1991-08-17,najah,67,value3,False,7
1151,qossay,4096,nablus,Female,ybzqfjvbsn@asaltech.com,1998-07-20,al-quds,87,value1,True,0
1173,qossay,2535,nablus,Female,dqytlyrtjm@asaltech.com,1996-04-12,najah,84,value3,True,2
1176,qossay,2370,nablus,Female,dlreuqdqlf@asaltech.com,1984-11-12,najah,85,value3,False,2
1180,qossay,1717,hebron,Female,spqlzzkoql@asaltech.com,1989-02-11,najah,92,value2,False,1
1208,qossay,1912,amman,Female,cmtjbqvwpt@asaltech.com,1990-05-08,birzeit,61,value2,False,8
1251,qossay,1054,amman,Female,bxdfoajbed@asaltech.com,1980-06-19,najah,96,value3,True,9
1257,qossay,4072,yafa,Female,kiwlxxkkxl@asaltech.com,1985-05-15,al-quds,98,value2,False,5
1265,qossay,2768,Bethlehem,Female,eviacvtvfu@asaltech.com,1985-07-14,najah,91,value2,True,4
1297,qossay,3399,hebron,Female,rcbewxmuev@asaltech.com,1991-08-02,najah,92,value1,True,2
1298,qossay,2642,amman,Female,jrjbgdhhpx@asaltech.com,1980-07-14,najah,87,value3,True,4
1307,qossay,1149,amman,Female,rpxonmimuz@asaltech.com,1993-12-16,al-quds,87,value2,False,6
1313,qossay,4926,rawabi,Female,lkwuqblgcz@asaltech.com,1988-08-28,najah,73,value2,False,8
1323,qossay,3513,nablus,Female,jdzqxfnxqc@asaltech.com,1996-07-27,najah,80,value1,False,7
1331,qossay,4215,Salfit,Female,zxosaqutgd@asaltech.com,1991-07-03,birzeit,61,value2,True,3
1341,qossay,1718,Jenin ,Female,jickvqcwjb@asaltech.com,1982-01-25,najah,90,value3,True,5
1349,qossay,3313,hebron,Female,xiuvdgmmmv@asaltech.com,1983-12-04,al-quds,84,value3,False,4
1356,qossay,3184,Salfit,Female,jksrchyelg@asaltech.com,1991-09-07,birzeit,80,value3,True,7
1368,qossay,1763,nablus,Female,baszzpjwpg@asaltech.com,1992-07-23,al-quds,87,value3,False,3
1376,qossay,3756,yafa,Female,xwhmxtcdnk@asaltech.com,2000-11-13,najah,94,value3,True,3
1399,qossay,3402,amman,Female,wtmtwkpaek@asaltech.com,1997-02-26,najah,97,value2,False,6
1432,qossay,4690,Jenin ,Female,jelgyygcif@asaltech.com,1999-12-25,najah,60,value3,False,5
1450,qossay,1177,Bethlehem,Female,yzjsoddxha@asaltech.com,1996-12-05,najah,97,value3,False,5
1451,qossay,3619,hebron,Female,gjsytppxjd@asaltech.com,1987-09-07,najah,74,value2,True,7
1468,qossay,1792,Jerusalem,Female,rxetecnqpo@asaltech.com,1996-08-13,al-quds,79,value2,False,3
1532,qossay,4605,Jerusalem,Female,nhnsgxnzkn@asaltech.com,1982-02-12,najah,82,value3,False,2
1533,qossay,1477,Jerusalem,Female,qgeceqswim@asaltech.com,1999-06-23,birzeit,71,value2,False,3
1545,qossay,3974,Bethlehem,Female,joioovvzfx@asaltech.com,1996-07-21,birzeit,90,value1,True,1
1549,qossay,4876,rawabi,Female,tdngutmblb@asaltech.com,1987-10-15,birzeit,69,value3,False,5
1575,qossay,4754,Jenin ,Female,ugrujfdvfi@asaltech.com,1985-01-05,al-quds,84,value1,True,5
1584,qossay,3155,Bethlehem,Female,vywjaytcyl@asaltech.com,1998-08-02,najah,69,value3,True,2
1622,qossay,2558,Jerusalem,Female,pecnorvfvg@asaltech.com,1984-12-21,najah,96,value1,False,1
1638,qossay,1225,Bethlehem,Female,fsgrwzmiyf@asaltech.com,1984-08-20,najah,94,value2,False,0
1644,qossay,2796,amman,Female,yfulqdzvzm@asaltech.com,1997-08-27,najah,74,value1,True,7
1657,qossay,4097,Salfit,Female,hqvpqdiawu@asaltech.com,1992-03-10,birzeit,75,value2,False,0
1679,qossay,1415,Bethlehem,Female,gzhzuezyzf@asaltech.com,1994-06-12,al-quds,76,value2,False,2
1693,qossay,2004,Salfit,Female,aqllfjacdy@asaltech.com,1981-04-11,najah,73,value1,False,1
1696,qossay,2717,Jenin ,Female,juiznisxxx@asaltech.com,1984-11-20,al-quds,92,value3,False,0
1732,qossay,3301,rammallah,Female,ndwwsjfnhy@asaltech.com,1985-08-13,al-quds,98,value3,False,3
1744,qossay,4947,Salfit,Female,ssvhoycwxp@asaltech.com,1991-06-22,birzeit,69,value1,True,2
1745,qossay,3206,yafa,Female,zrmzczzuzp@asaltech.com,1983-11-21,birzeit,77,value3,True,1
1758,qossay,4991,yafa,Female,rkwuruhekm@asaltech.com,1988-12-21,birzeit,94,value3,False,1
1788,qossay,1046,rawabi,Female,moukdmjahp@asaltech.com,1995-04-26,al-quds,87,value2,False,6
1799,qossay,3420,amman,Female,dpboxpkzgv@asaltech.com,1989-09-12,najah,60,value2,True,2
1806,qossay,3698,yafa,Female,ucrwhindqe@asaltech.com,1989-04-21,najah,84,value3,True,1
1814,qossay,4343,Salfit,Female,dwvhynwxgo@asaltech.com,2000-04-21,al-quds,78,value3,False,1
1826,qossay,2286,hebron,Female,etrjobbpok@asaltech.com,1997-02-20,al-quds,61,value2,False,0
1832,qossay,1587,nablus,Female,omapeprsyf@asaltech.com,1995-09-08,al-quds,71,value3,True,8
1841,qossay,2712,amman,Female,jufehfwcug@asaltech.com,1984-02-04,al-quds,95,value2,False,4
1857,qossay,2545,Bethlehem,Female,yasbsyuthe@asaltech.com,1999-01-24,birzeit,95,value1,True,4
1864,qossay,1761,Bethlehem,Female,rlqsfvkovo@asaltech.com,1986-04-10,birzeit,66,value2,False,0
1892,qossay,3973,rawabi,Female,gnbseflzth@asaltech.com,1999-02-06,najah,67,value1,True,6
1895,qossay,2630,rammallah,Female,giosjenqpe@asaltech.com,1983-06-06,al-quds,78,value3,False,6
1923,qossay,3603,amman,Female,wlghtecxlf@asaltech.com,1995-11-08,birzeit,85,value3,False,8
1944,qossay,3154,hebron,Female,jhbijiytfh@asaltech.com,1980-08-04,birzeit,86,value2,False,4
1961,qossay,3511,rawabi,Female,tcjityyqtu@asaltech.com,1986-03-06,al-quds,73,value1,True,6
1962,qossay,4158,Salfit,Female,wydpvpnxoh@asaltech.com,1983-08-01,najah,60,value1,False,1
1980,qossay,1386,amman,Female,irbspbifyo@asaltech.com,1998-08-14,najah,92,value1,False,4
1998,qossay,1564,yafa,Female,coqwzycngb@asaltech.com,1998-03-08,birzeit,67,value3,True,8
2006,qossay,4097,Jerusalem,Female,itycudpzpq@asaltech.com,1996-01-02,al-quds,93,value1,True,2
2023,qossay,3185,nablus,Female,qpluorbjem@asaltech.com,1982-07-22,najah,87,value3,True,2
2049,qossay,1086,amman,Female,ydcxravzdu@asaltech.com,1998-11-23,najah,85,value3,True,3
2051,qossay,1089,amman,Female,bbcqodwwup@asaltech.com,1980-09-14,birzeit,70,value2,False,4
2053,qossay,2258,rammallah,Female,tgllntbvbb@asaltech.com,1987-08-21,najah,91,value3,True,1
2165,qossay,2204,Jenin ,Female,vcxaenawnr@asaltech.com,1985-03-16,al-quds,89,value1,False,6
2184,qossay,3586,yafa,Female,krtwxopbph@asaltech.com,1989-01-27,birzeit,99,value2,False,7
2185,qossay,1025,nablus,Female,ysebsgofqi@asaltech.com,1985-04-28,birzeit,74,value1,True,8
2274,qossay,4459,amman,Female,zmyhsquwsi@asaltech.com,1983-02-25,al-quds,84,value2,False,5
2281,qossay,2241,Bethlehem,Female,gjdoqhnpgh@asaltech.com,1981-04-17,al-quds,65,value2,True,7
2283,qossay,3195,amman,Female,lbyobnjwcp@asaltech.com,1996-04-13,al-quds,88,value2,True,3
2305,qossay,4840,Bethlehem,Female,pmybxbwunv@asaltech.com,1981-06-27,birzeit,99,value2,False,7
2306,qossay,2764,Bethlehem,Female,ppintxigkh@asaltech.com,1987-02-19,najah,67,value3,True,9
2326,qossay,1372,Salfit,Female,yydnytjmsm@asaltech.com,1984-03-05,birzeit,73,value2,True,5
2328,qossay,1372,Salfit,Female,taiezbxcbz@asaltech.com,1984-05-19,al-quds,93,value3,True,9
2335,qossay,4457,yafa,Female,skvqbetnch@asaltech.com,1995-04-26,birzeit,90,value2,False,6
2362,qossay,1915,rammallah,Female,vgpwodbihf@asaltech.com,1991-03-18,najah,85,value3,True,8
2365,qossay,4716,nablus,Female,myjitfoiup@asaltech.com,1997-11-03,birzeit,86,value1,False,3
2381,qossay,3281,Jerusalem,Female,yjxrsinjdt@asaltech.com,1982-11-09,al-quds,73,value2,False,9
2423,qossay,2377,rawabi,Female,vvlerekaer@asaltech.com,1985-06-24,al-quds,79,value1,False,4
2424,qossay,3174,rawabi,Female,tefqsifupd@asaltech.com,1989-01-18,birzeit,84,value3,False,8
2430,qossay,4793,Jenin ,Female,vkfhahkied@asaltech.com,1984-01-20,al-quds,68,value1,False,0
2495,qossay,1319,hebron,Female,pqzhmwzjvz@asaltech.com,1990-05-22,najah,81,value2,True,2
2501,qossay,2164,Bethlehem,Female,jueuhdcqbc@asaltech.com,1988-10-10,najah,61,value2,False,0
2572,qossay,3461,Salfit,Female,ggyurjknbe@asaltech.com,1987-02-16,al-quds,74,value3,True,6
2579,qossay,3147,Jerusalem,Female,qgbtofworr@asaltech.com,1993-05-23,najah,94,value3,True,3
2606,qossay,4444,Salfit,Female,exglcvovrt@asaltech.com,1984-07-10,najah,95,value2,True,0
2620,qossay,4584,yafa,Female,pcszwacqhr@asaltech.com,1985-02-27,birzeit,84,value1,True,7
2622,qossay,2298,hebron,Female,dexyghjgro@asaltech.com,1982-12-13,birzeit,85,value3,False,3
2635,qossay,2237,rawabi,Female,qafqfywmcv@asaltech.com,1995-04-11,najah,75,value2,False,1
2638,qossay,1623,Jerusalem,Female,vjilokoxvb@asaltech.com,1985-03-20,najah,64,value1,True,0
2640,qossay,3257,yafa,Female,dqtvoomlmw@asaltech.com,2000-05-09,birzeit,60,value2,True,9
2663,qossay,1977,Salfit,Female,dpympcmzuw@asaltech.com,2000-12-07,al-quds,70,value3,False,7
2669,qossay,3175,Jenin ,Female,ldshpchiwy@asaltech.com,1997-01-20,birzeit,76,value3,True,0
2699,qossay,2326,Bethlehem,Female,wawbcizqnn@asaltech.com,1998-12-27,birzeit,83,value2,True,7
2714,qossay,1561,nablus,Female,yeuzyskvok@asaltech.com,1987-06-27,al-quds,72,value2,False,7
2755,qossay,1012,Jenin ,Female,nhzbogfkap@asaltech.com,1993-10-23,birzeit,75,value2,True,3
2792,qossay,3342,amman,Female,lxgrddvnoo@asaltech.com,1992-11-25,najah,91,value1,True,5
2797,qossay,2234,rammallah,Female,acdhrsshil@asaltech.com,1982-04-12,najah,76,value3,True,2
2816,qossay,2617,hebron,Female,xxnvrjpuro@asaltech.com,1988-07-10,birzeit,75,value1,True,0
2821,qossay,2117,Salfit,Female,quqsfjmcxo@asaltech.com,1989-01-13,al-quds,95,value1,True,3
2831,qossay,2307,nablus,Female,yhnjlxpxmp@asaltech.com,2000-01-04,najah,79,value1,False,4
2836,qossay,4239,Bethlehem,Female,frrgoskhkr@asaltech.com,2000-10-27,al-quds,85,value1,False,7
2934,qossay,2082,Bethlehem,Female,beevuwjpip@asaltech.com,1998-12-13,najah,76,value2,False,3
2935,qossay,3192,Salfit,Female,sbrwdjpmul@asaltech.com,1984-07-26,al-quds,98,value2,True,6
2981,qossay,4307,nablus,Female,fifqmujvdy@asaltech.com,1987-06-12,najah,97,value3,False,2
3001,qossay,2380,Jenin ,Female,kgrckazdhw@asaltech.com,1981-06-21,birzeit,76,value1,True,1
3019,qossay,4215,Jenin ,Female,bpfctsqxbu@asaltech.com,1999-07-12,najah,86,value2,False,2
3027,qossay,2091,yafa,Female,lnijvyebgl@asaltech.com,1986-04-13,al-quds,72,value3,False,3
3037,qossay,2314,Bethlehem,Female,holsdcgdoc@asaltech.com,1991-05-15,birzeit,61,value2,False,5
3068,qossay,2672,rawabi,Female,efftfyqnmr@asaltech.com,1986-04-24,najah,76,value3,True,4
3076,qossay,3198,hebron,Female,exuxkaiglg@asaltech.com,1981-02-15,najah,93,value3,True,5
3097,qossay,985,Bethlehem,Female,znwyoazxlf@asaltech.com,1981-11-02,najah,84,value3,True,2
3106,qossay,3279,Salfit,Female,kuowxzpwhm@asaltech.com,1987-09-14,birzeit,93,value2,False,4
3164,qossay,1111,nablus,Female,mqaszjawmy@asaltech.com,1995-01-01,najah,95,value1,True,1
3172,qossay,2970,Jenin ,Female,brvhqekbiu@asaltech.com,1984-11-11,najah,80,value1,True,1
3184,qossay,916,Jerusalem,Female,omauarygcq@asaltech.com,1994-01-10,najah,61,value2,False,0
3215,qossay,4176,yafa,Female,qqtpwgqnrl@asaltech.com,1997-08-11,birzeit,94,value3,False,1
3232,qossay,1212,rawabi,Female,tjpllfhzhu@asaltech.com,1986-06-05,najah,84,value3,False,5
3234,qossay,945,yafa,Female,mbyjjwkovk@asaltech.com,1985-09-22,birzeit,63,value3,True,2
3245,qossay,2513,Bethlehem,Female,asjxhjgxad@asaltech.com,1991-04-15,al-quds,69,value1,True,5
3272,qossay,988,amman,Female,psowbyufaj@asaltech.com,1980-03-14,al-quds,76,value2,False,4
3279,qossay,2679,amman,Female,ozsubjgdzk@asaltech.com,2000-02-20,najah,60,value1,True,0
3283,qossay,976,rawabi,Female,yifxxhdegv@asaltech.com,1997-07-25,birzeit,92,value2,True,5
3302,qossay,3557,hebron,Female,svupssmqow@asaltech.com,1997-04-16,birzeit,90,value1,False,6
3317,qossay,2289,yafa,Female,vgfaqslggs@asaltech.com,1988-03-09,birzeit,93,value2,True,9
3332,qossay,4873,yafa,Female,rnsxngsvqd@asaltech.com,1991-06-19,birzeit,69,value1,True,9
3335,qossay,2234,hebron,Female,sgodyymili@asaltech.com,2000-01-26,al-quds,80,value3,False,6
3352,qossay,3801,rammallah,Female,swcpccqzxf@asaltech.com,1991-08-25,al-quds,83,value3,False,5
3372,qossay,3277,yafa,Female,dezgirwrbr@asaltech.com,1995-12-16,al-quds,67,value2,True,6
3373,qossay,4868,amman,Female,fmrqqsrmhk@asaltech.com,1985-11-26,birzeit,91,value2,False,6
3377,qossay,3576,Bethlehem,Female,dibeekrkrb@asaltech.com,1999-05-26,birzeit,90,value3,True,6
3379,qossay,1147,Salfit,Female,cecuyivvan@asaltech.com,1984-10-06,birzeit,72,value2,False,6
3438,qossay,3673,Bethlehem,Female,oiejczwgry@asaltech.com,1998-09-11,najah,91,value1,True,1
3445,qossay,4506,nablus,Female,ecjwpwxviu@asaltech.com,1989-06-08,najah,89,value1,True,8
3446,qossay,3602,Jenin ,Female,ifdpqmdfxz@asaltech.com,1995-12-16,najah,95,value1,False,6
3453,qossay,3371,amman,Female,mtbhmilwqo@asaltech.com,1982-04-05,birzeit,67,value2,False,5
3476,qossay,4408,rammallah,Female,rdmpondbfq@asaltech.com,1980-11-12,birzeit,61,value2,False,2
3481,qossay,3953,rawabi,Female,oskpyjvxja@asaltech.com,1997-11-10,najah,61,value3,True,0
3496,qossay,2830,Jenin ,Female,qteccsthtn@asaltech.com,1980-10-15,birzeit,81,value2,True,5
3515,qossay,2106,Salfit,Female,kgxwwdzdav@asaltech.com,1998-05-05,birzeit,73,value3,False,5
3517,qossay,4320,yafa,Female,wlahtmnnbq@asaltech.com,1981-06-06,al-quds,75,value3,False,6
3529,qossay,3769,rawabi,Female,uqosvmbpyw@asaltech.com,1995-12-11,birzeit,83,value3,True,1
3544,qossay,1595,Salfit,Female,ismfufxyre@asaltech.com,1993-06-01,najah,74,value1,False,1
3553,qossay,4719,hebron,Female,ztlyuuhztu@asaltech.com,1989-10-09,najah,71,value2,False,9
3650,qossay,3148,rammallah,Female,rthjzamcxh@asaltech.com,1982-11-28,birzeit,96,value1,True,8
3659,qossay,1622,rawabi,Female,xjxmzxwolt@asaltech.com,1989-06-16,al-quds,61,value3,True,6
3676,qossay,1285,Jenin ,Female,mgotgplqsy@asaltech.com,1981-12-26,al-quds,64,value3,True,6
3678,qossay,4448,Jerusalem,Female,euxrfekytr@asaltech.com,1998-06-20,al-quds,81,value3,False,0
3690,qossay,1226,Salfit,Female,azjzgsezny@asaltech.com,1987-08-04,najah,92,value1,True,4
3696,qossay,1091,rammallah,Female,tcnvzaizmt@asaltech.com,2000-07-09,najah,62,value3,True,9
3757,qossay,3423,yafa,Female,fkresjjgsa@asaltech.com,1991-05-17,al-quds,69,value2,False,7
3772,qossay,3456,Bethlehem,Female,lurrbfuanx@asaltech.com,1997-06-19,najah,63,value1,False,9
3795,qossay,1127,yafa,Female,bbbcxdvawq@asaltech.com,1988-10-24,birzeit,84,value1,False,4
3889,qossay,822,Jenin ,Female,uwbkfceduc@asaltech.com,1991-08-03,najah,87,value2,False,3
3901,qossay,1740,nablus,Female,ffdgmhtwfx@asaltech.com,1991-06-15,birzeit,99,value3,False,5
3912,qossay,4204,Jenin ,Female,yqbpiotcbm@asaltech.com,2000-03-07,najah,83,value2,False,7
3964,qossay,2956,hebron,Female,oiswyjbrmt@asaltech.com,1997-03-02,birzeit,81,value3,False,2
3976,qossay,1758,Jerusalem,Female,jgmapbcldu@asaltech.com,1987-12-23,birzeit,74,value3,True,3
3983,qossay,3297,rawabi,Female,pjoudjstiw@asaltech.com,1980-09-02,najah,89,value1,True,2
3991,qossay,3058,amman,Female,iplkctbcwj@asaltech.com,1992-07-11,birzeit,85,value3,True,1
4001,qossay,1511,Jerusalem,Female,ynjiyfhtux@asaltech.com,1997-09-18,najah,72,value3,False,8
4011,qossay,1545,yafa,Female,dfzvfwaand@asaltech.com,1995-04-26,najah,99,value2,True,6
4075,qossay,2564,hebron,Female,nqaynmvcqm@asaltech.com,1997-08-19,birzeit,88,value3,True,9
4092,qossay,3716,yafa,Female,ctieilgebi@asaltech.com,1982-10-23,birzeit,77,value3,False,3
4112,qossay,4147,Bethlehem,Female,mremvjofuo@asaltech.com,1982-08-01,najah,68,value3,True,1
4128,qossay,1892,amman,Female,tgnuerrhhk@asaltech.com,1993-01-13,najah,69,value3,True,3
4129,qossay,3833,amman,Female,ljldsrpnkv@asaltech.com,1984-04-12,birzeit,99,value1,False,2
4131,qossay,3667,amman,Female,wiqxaaubxk@asaltech.com,1986-11-07,birzeit,65,value2,False,7
4134,qossay,2296,Bethlehem,Female,kixnedwcue@asaltech.com,1981-12-16,al-quds,98,value1,False,6
4145,qossay,1881,Jerusalem,Female,ckmuxccbng@asaltech.com,1984-03-04,birzeit,69,value1,False,4
4154,qossay,1676,amman,Female,uadbktbztm@asaltech.com,1998-02-24,najah,93,value3,False,4
4176,qossay,1332,rawabi,Female,dzxyrkcgpp@asaltech.com,1987-05-19,birzeit,80,value2,False,9
4180,qossay,1307,hebron,Female,smfmpvslhv@asaltech.com,1986-01-20,birzeit,78,value1,False,0
4203,qossay,3383,yafa,Female,vumzgjnkty@asaltech.com,1990-10-28,najah,67,value2,True,8
4216,qossay,2143,rawabi,Female,xbhpugylvq@asaltech.com,1981-12-16,al-quds,93,value3,False,6
4267,qossay,2604,yafa,Female,dwmqanvske@asaltech.com,1993-03-23,al-quds,86,value3,True,3
4284,qossay,2488,Jenin ,Female,ktojratbcx@asaltech.com,1993-05-19,al-quds,64,value3,True,9
4294,qossay,1543,nablus,Female,wrrrtkssoi@asaltech.com,1980-07-27,birzeit,74,value1,False,7
4304,qossay,3028,Bethlehem,Female,khzmdhimxs@asaltech.com,1986-01-15,al-quds,68,value2,False,5
4306,qossay,4653,nablus,Female,fshhcsogjg@asaltech.com,1991-11-02,birzeit,61,value2,True,2
